SECTOR_ID,SECTOR_NAME,ENODEBID,ENODEB_NAME,FREQBAND,FREQUENCY,EARFCN,AZIMUTH,LONGITUDE,LATITUDE,STYLE,HEIGHT,K_DIST,,
566442-2,五华美亚大厦平台-HLH-2,566442,五华美亚大厦平台-HLH,39,1890,38350,70,102.714,25.04662,OUTDOOR,24,104.743,,
566442-1,五华美亚大厦平台-HLH-1,566442,五华美亚大厦平台-HLH,39,1890,38350,320,102.714,25.04662,OUTDOOR,24,104.743,,
567061-3,五华翠府-HLH-3,567061,五华翠府-HLH,39,1890,38350,220,102.7,25.05302,OUTDOOR,22,232.119,,
567061-2,五华翠府-HLH-2,567061,五华翠府-HLH,39,1890,38350,100,102.7,25.05302,OUTDOOR,22,232.119,,
567061-1,五华翠府-HLH-1,567061,五华翠府-HLH,39,1890,38350,20,102.7,25.05302,OUTDOOR,22,232.119,,  
567442-2,五华翠湖南路与钱局街交叉路灯-HLH-2,567442,五华翠湖南路与钱局街交叉路灯-HLH,39,1890,38350,190,102.699,25.0478,OUTDOOR,10,117.984,,
567442-1,五华翠湖南路与钱局街交叉路灯-HLH-1,567442,五华翠湖南路与钱局街交叉路灯-HLH,39,1890,38350,330,102.699,25.0478,OUTDOOR,10,117.984,,
566391-3,五华茭菱路-HLH-3,566391,五华茭菱路-HLH,39,1890,38350,250,102.68,25.05234,OUTDOOR,26,103.702,,
566391-2,五华茭菱路-HLH-2,566391,五华茭菱路-HLH,39,1890,38350,120,102.68,25.05234,OUTDOOR,26,103.702,,
566391-1,五华茭菱路-HLH-1,566391,五华茭菱路-HLH,39,1890,38350,340,102.68,25.05234,OUTDOOR,26,103.702,,
567467-2,五华荷塘月色11栋-HLH-2,567467,五华荷塘月色11栋-HLH,39,1890,38350,120,102.721,25.095257,OUTDOOR,30,181.35,,
567467-1,五华荷塘月色11栋-HLH-1,567467,五华荷塘月色11栋-HLH,39,1890,38350,0,102.721,25.095257,OUTDOOR,30,181.35,,
568046-2,五华荷塘月色11栋17层租房站-HLH-2,568046,五华荷塘月色11栋17层租房站-HLH,39,1890,38350,60,102.721,25.09686,OUTDOOR,30,146.124,,
568046-1,五华荷塘月色11栋17层租房站-HLH-1,568046,五华荷塘月色11栋17层租房站-HLH,39,1890,38350,330,102.721,25.09686,OUTDOOR,30,146.124,,
567422-2,五华荷塘月色18栋3单元1501室租房站-HLH-2,567422,五华荷塘月色18栋3单元1501室租房站-HLH,39,1890,38350,120,102.719,25.096666,OUTDOOR,28,215.998,,
567422-1,五华荷塘月色18栋3单元1501室租房站-HLH-1,567422,五华荷塘月色18栋3单元1501室租房站-HLH,39,1890,38350,40,102.719,25.096666,OUTDOOR,28,215.998,,
